tanggal,deskripsi,jumlah,tipe,kategori,id
2025-03-02,isi bensin pertamax,11000,Pengeluaran,Transport,
2025-03-02,beli kopi susu,18000,Pengeluaran,Makan,
2025-03-02,beli buku referensi,292000,Pengeluaran,Pendidikan,
2025-03-02,makan malam warung,42000,Pengeluaran,Makan,
2025-03-03,beli roti bakar,10000,Pengeluaran,Makan,
2025-03-04,naik angkot,38000,Pengeluaran,Transport,
2025-03-04,beli jus buah,43000,Pengeluaran,Makan,
2025-03-04,bayar listrik kos,220000,Pengeluaran,Tagihan,
2025-03-04,naik gojek ke kampus,15000,Pengeluaran,Transport,
2025-03-04,beli kopi susu,30000,Pengeluaran,Makan,
2025-03-05,beli baju olahraga,104000,Pengeluaran,Belanja,
2025-03-05,beli paracetamol,76000,Pengeluaran,Kesehatan,
2025-03-05,bayar kursus online,342000,Pengeluaran,Pendidikan,
2025-03-05,beli buku referensi,181000,Pengeluaran,Pendidikan,
2025-03-06,beli mie ayam,33000,Pengeluaran,Makan,
2025-03-06,beli kuota internet belajar,392000,Pengeluaran,Pendidikan,
2025-03-06,main bowling,131000,Pengeluaran,Hiburan,
2025-03-06,beli komik,159000,Pengeluaran,Hiburan,
2025-03-06,beli martabak,37000,Pengeluaran,Makan,
2025-03-07,beli tas ransel,154000,Pengeluaran,Belanja,
2025-03-07,beli obat maag,45000,Pengeluaran,Kesehatan,
2025-03-07,beli roti bakar,10000,Pengeluaran,Makan,
2025-03-07,beli nasi padang,13000,Pengeluaran,Makan,
2025-03-07,bayar seminar,392000,Pengeluaran,Pendidikan,
2025-03-08,makan di warteg,38000,Pengeluaran,Makan,
2025-03-08,beli kuota xl,776000,Pengeluaran,Tagihan,
2025-03-08,naik ojek online,76000,Pengeluaran,Transport,
2025-03-08,beli masker kesehatan,74000,Pengeluaran,Kesehatan,
2025-03-08,bayar bensin motor,18000,Pengeluaran,Transport,
2025-03-08,bayar konsultasi dokter,126000,Pengeluaran,Kesehatan,
2025-03-08,naik angkot,29000,Pengeluaran,Transport,
2025-03-08,makan di kantin,9000,Pengeluaran,Makan,
2025-03-08,beli kertas hvs,29000,Pengeluaran,Pendidikan,
2025-03-09,bayar disney plus,41000,Pengeluaran,Hiburan,
2025-03-09,top up gopay,783000,Pengeluaran,Tagihan,
2025-03-09,bayar cicilan hp,691000,Pengeluaran,Tagihan,
2025-03-09,makan siang warteg,44000,Pengeluaran,Makan,
2025-03-09,print skripsi,193000,Pengeluaran,Pendidikan,
2025-03-09,naik bus trans,58000,Pengeluaran,Transport,
2025-03-10,makan siang warteg,23000,Pengeluaran,Makan,
2025-03-10,print skripsi,199000,Pengeluaran,Pendidikan,
2025-03-10,jajan gorengan,34000,Pengeluaran,Makan,
2025-03-10,beli baju di shopee,344000,Pengeluaran,Belanja,
2025-03-10,bayar kartu pelajar,517000,Pengeluaran,Tagihan,
2025-03-10,beli jus buah,15000,Pengeluaran,Makan,
2025-03-10,beli token busway,65000,Pengeluaran,Transport,
2025-03-10,beli hand sanitizer,40000,Pengeluaran,Kesehatan,
2025-03-10,bayar langganan aplikasi,163000,Pengeluaran,Tagihan,
2025-03-11,bayar youtube premium,131000,Pengeluaran,Hiburan,
2025-03-11,jajan gorengan,18000,Pengeluaran,Makan,
2025-03-11,beli earphone,206000,Pengeluaran,Belanja,
2025-03-11,grab motor ke rumah sakit,25000,Pengeluaran,Transport,
2025-03-11,bayar youtube premium,98000,Pengeluaran,Hiburan,
2025-03-12,beli ayam geprek,25000,Pengeluaran,Makan,
2025-03-12,bayar langganan aplikasi,318000,Pengeluaran,Tagihan,
2025-03-12,beli obat flu di apotek,187000,Pengeluaran,Kesehatan,
2025-03-12,uang lembur kerja part time,1950000,Pemasukan,Pemasukan,
2025-03-12,beli pecel lele,28000,Pengeluaran,Makan,
2025-03-12,beli pecel lele,13000,Pengeluaran,Makan,
2025-03-12,beli powerbank,200000,Pengeluaran,Belanja,
2025-03-12,beli alat tulis,207000,Pengeluaran,Pendidikan,
2025-03-12,beli kopi susu,36000,Pengeluaran,Makan,
2025-03-13,beli tiket konser,155000,Pengeluaran,Hiburan,
2025-03-13,beli sepatu tokopedia,358000,Pengeluaran,Belanja,
2025-03-13,makan di warteg,30000,Pengeluaran,Makan,
2025-03-13,bayar langganan aplikasi,404000,Pengeluaran,Tagihan,
2025-03-13,beli tinta printer,74000,Pengeluaran,Pendidikan,
2025-03-13,beli roti bakar,23000,Pengeluaran,Makan,
2025-03-13,sarapan nasi uduk,15000,Pengeluaran,Makan,
2025-03-13,beli sate,9000,Pengeluaran,Makan,
2025-03-13,beli buku kuliah,21000,Pengeluaran,Pendidikan,
2025-03-13,beli mie ayam,44000,Pengeluaran,Makan,
2025-03-14,beli martabak,45000,Pengeluaran,Makan,
2025-03-14,grab motor ke mall,63000,Pengeluaran,Transport,
2025-03-14,beli suplemen,60000,Pengeluaran,Kesehatan,
2025-03-14,beli sabun mandi,238000,Pengeluaran,Belanja,
2025-03-14,naik gojek ke kampus,47000,Pengeluaran,Transport,
2025-03-14,bayar parkir motor,61000,Pengeluaran,Transport,
2025-03-14,beli buku kuliah,325000,Pengeluaran,Pendidikan,
2025-03-15,makan siang warteg,38000,Pengeluaran,Makan,
2025-03-15,beli hand sanitizer,157000,Pengeluaran,Kesehatan,
2025-03-15,bayar listrik kos,478000,Pengeluaran,Tagihan,
2025-03-15,beli vitamin c,92000,Pengeluaran,Kesehatan,
2025-03-15,naik kereta commuter,6000,Pengeluaran,Transport,
2025-03-15,grab motor ke rumah sakit,54000,Pengeluaran,Transport,
2025-03-15,beli indomie,11000,Pengeluaran,Makan,
2025-03-15,beli merchandise anime,144000,Pengeluaran,Hiburan,
2025-03-16,beli tinta printer,382000,Pengeluaran,Pendidikan,
2025-03-16,jajan gorengan,25000,Pengeluaran,Makan,
2025-03-16,beli tas ransel,243000,Pengeluaran,Belanja,
2025-03-16,beli baju di shopee,377000,Pengeluaran,Belanja,
2025-03-17,naik ojek online,69000,Pengeluaran,Transport,
2025-03-17,beli jurnal ilmiah,34000,Pengeluaran,Pendidikan,
2025-03-17,uang bulanan dari orang tua,1700000,Pemasukan,Pemasukan,
2025-03-17,bayaran freelance desain,1750000,Pemasukan,Pemasukan,
2025-03-17,gojek ke kos,79000,Pengeluaran,Transport,
2025-03-17,bayar konsultasi dokter,167000,Pengeluaran,Kesehatan,
2025-03-17,naik kereta commuter,64000,Pengeluaran,Transport,
2025-03-18,beli token busway,48000,Pengeluaran,Transport,
2025-03-18,isi bensin pertamax,78000,Pengeluaran,Transport,
2025-03-18,beli tinta printer,500000,Pengeluaran,Pendidikan,
2025-03-18,beli sate,26000,Pengeluaran,Makan,
2025-03-18,beli martabak,16000,Pengeluaran,Makan,
2025-03-18,naik kereta commuter,50000,Pengeluaran,Transport,
2025-03-18,gojek ke kos,15000,Pengeluaran,Transport,
2025-03-18,print dan jilid laporan,230000,Pengeluaran,Pendidikan,
2025-03-18,beli indomie,11000,Pengeluaran,Makan,
2025-03-18,beli obat maag,115000,Pengeluaran,Kesehatan,
2025-03-18,bayar dokter umum,150000,Pengeluaran,Kesehatan,
2025-03-19,beli sate,37000,Pengeluaran,Makan,
2025-03-19,bayar spp semester,110000,Pengeluaran,Pendidikan,
2025-03-19,uang saku tambahan,750000,Pemasukan,Pemasukan,
2025-03-19,beli bubble tea,43000,Pengeluaran,Makan,
2025-03-19,naik kereta commuter,16000,Pengeluaran,Transport,
2025-03-19,gojek ke kos,20000,Pengeluaran,Transport,
2025-03-19,beli game steam,194000,Pengeluaran,Hiburan,
2025-03-19,bayar air pdam,654000,Pengeluaran,Tagihan,
2025-03-20,fotokopi materi kuliah,401000,Pengeluaran,Pendidikan,
2025-03-20,beli shampo,59000,Pengeluaran,Belanja,
2025-03-20,gojek ke kos,37000,Pengeluaran,Transport,
2025-03-20,beli token busway,31000,Pengeluaran,Transport,
2025-03-20,beli charger laptop,339000,Pengeluaran,Belanja,
2025-03-20,beli tas ransel,74000,Pengeluaran,Belanja,
2025-03-20,beli tiket konser,78000,Pengeluaran,Hiburan,
2025-03-20,beli baju olahraga,196000,Pengeluaran,Belanja,
2025-03-20,bayar kursus online,13000,Pengeluaran,Pendidikan,
2025-03-20,beli bubble tea,30000,Pengeluaran,Makan,
2025-03-20,bayar youtube premium,168000,Pengeluaran,Hiburan,
2025-03-21,beli sandal,310000,Pengeluaran,Belanja,
2025-03-21,grab motor ke mall,12000,Pengeluaran,Transport,
2025-03-21,karaoke bersama teman,88000,Pengeluaran,Hiburan,
2025-03-21,makan di warteg,21000,Pengeluaran,Makan,
2025-03-21,makan di warteg,22000,Pengeluaran,Makan,
2025-03-21,makan siang warteg,15000,Pengeluaran,Makan,
2025-03-21,beli deterjen,260000,Pengeluaran,Belanja,
2025-03-21,beli suplemen,173000,Pengeluaran,Kesehatan,
2025-03-22,naik angkot,19000,Pengeluaran,Transport,
2025-03-22,naik kereta commuter,63000,Pengeluaran,Transport,
2025-03-22,beli aksesoris hp,64000,Pengeluaran,Belanja,
2025-03-22,beli mie ayam,30000,Pengeluaran,Makan,
2025-03-22,bayar bensin motor,39000,Pengeluaran,Transport,
2025-03-22,isi bensin pertamax,6000,Pengeluaran,Transport,
2025-03-22,beli buku kuliah,87000,Pengeluaran,Pendidikan,
2025-03-22,main billiard,79000,Pengeluaran,Hiburan,
2025-03-22,beli kertas hvs,91000,Pengeluaran,Pendidikan,
2025-03-22,isi bensin pertamax,62000,Pengeluaran,Transport,
2025-03-22,isi bensin pertalite,75000,Pengeluaran,Transport,
2025-03-22,naik ojek online,13000,Pengeluaran,Transport,
2025-03-22,beasiswa prestasi,950000,Pemasukan,Pemasukan,
2025-03-23,beli kertas hvs,440000,Pengeluaran,Pendidikan,
2025-03-23,beli paracetamol,136000,Pengeluaran,Kesehatan,
2025-03-23,grab motor ke rumah sakit,29000,Pengeluaran,Transport,
2025-03-23,beli nasi padang,29000,Pengeluaran,Makan,
2025-03-23,beli sepatu tokopedia,51000,Pengeluaran,Belanja,
2025-03-23,beli jus buah,44000,Pengeluaran,Makan,
2025-03-23,sarapan nasi uduk,34000,Pengeluaran,Makan,
2025-03-23,isi bensin pertamax,53000,Pengeluaran,Transport,
2025-03-24,bayar air pdam,190000,Pengeluaran,Tagihan,
2025-03-24,beli alat mandi,41000,Pengeluaran,Belanja,
2025-03-24,isi pulsa telkomsel,456000,Pengeluaran,Tagihan,
2025-03-24,bayar wifi indihome,458000,Pengeluaran,Tagihan,
2025-03-25,beli suplemen,99000,Pengeluaran,Kesehatan,
2025-03-25,bayar konsultasi dokter,77000,Pengeluaran,Kesehatan,
2025-03-25,bayar kos bulanan,791000,Pengeluaran,Tagihan,
2025-03-25,makan di warteg,13000,Pengeluaran,Makan,
2025-03-25,beli aksesoris hp,35000,Pengeluaran,Belanja,
2025-03-25,gojek ke kos,18000,Pengeluaran,Transport,
2025-03-26,beli token busway,69000,Pengeluaran,Transport,
2025-03-26,beli sate,20000,Pengeluaran,Makan,
2025-03-26,main billiard,149000,Pengeluaran,Hiburan,
2025-03-26,bayar bensin motor,55000,Pengeluaran,Transport,
2025-03-26,beli tas ransel,354000,Pengeluaran,Belanja,
2025-03-27,top up gopay,743000,Pengeluaran,Tagihan,
2025-03-27,makan di kantin,11000,Pengeluaran,Makan,
2025-03-27,main game arcade,191000,Pengeluaran,Hiburan,
2025-03-27,beli kuota xl,436000,Pengeluaran,Tagihan,
2025-03-28,grab car ke stasiun,66000,Pengeluaran,Transport,
2025-03-28,beli buku referensi,38000,Pengeluaran,Pendidikan,
2025-03-28,bayar kos bulanan,28000,Pengeluaran,Tagihan,
2025-03-29,beli martabak,36000,Pengeluaran,Makan,
2025-03-29,main game arcade,141000,Pengeluaran,Hiburan,
2025-03-29,beli indomie,37000,Pengeluaran,Makan,
2025-03-29,beli mie ayam,45000,Pengeluaran,Makan,
2025-03-29,beli deterjen,398000,Pengeluaran,Belanja,
2025-03-29,beli roti bakar,20000,Pengeluaran,Makan,
2025-03-29,bayar air pdam,676000,Pengeluaran,Tagihan,
2025-03-29,makan di kantin,29000,Pengeluaran,Makan,
2025-03-30,bayar seminar,329000,Pengeluaran,Pendidikan,
2025-03-30,beli sate,35000,Pengeluaran,Makan,
2025-03-30,beli sabun mandi,210000,Pengeluaran,Belanja,
2025-03-30,isi bensin pertamax,78000,Pengeluaran,Transport,
2025-03-30,beli alat tulis,314000,Pengeluaran,Pendidikan,
2025-03-30,beli roti bakar,30000,Pengeluaran,Makan,
2025-03-30,isi bensin pertalite,35000,Pengeluaran,Transport,
2025-03-30,beli hand sanitizer,168000,Pengeluaran,Kesehatan,
2025-03-30,bayar kursus online,269000,Pengeluaran,Pendidikan,
2025-03-30,bayar dokter umum,87000,Pengeluaran,Kesehatan,
2025-03-31,beli sepatu tokopedia,380000,Pengeluaran,Belanja,
2025-03-31,isi saldo e-money,626000,Pengeluaran,Tagihan,
2025-03-31,bayar air pdam,331000,Pengeluaran,Tagihan,
2025-03-31,nonton film bioskop,30000,Pengeluaran,Hiburan,
2025-03-31,beli roti bakar,13000,Pengeluaran,Makan,
2025-04-01,beli kopi susu,18000,Pengeluaran,Makan,
2025-04-01,beli mie ayam,11000,Pengeluaran,Makan,
2025-04-01,beli nasi padang,31000,Pengeluaran,Makan,
2025-04-01,hasil jualan online,1750000,Pemasukan,Pemasukan,
2025-04-01,bayar puskesmas,156000,Pengeluaran,Kesehatan,
2025-04-01,grab car ke stasiun,63000,Pengeluaran,Transport,
2025-04-01,beli nasi padang,18000,Pengeluaran,Makan,
2025-04-01,beli bakso,28000,Pengeluaran,Makan,
2025-04-01,makan di kantin,14000,Pengeluaran,Makan,
2025-04-01,grab motor ke mall,50000,Pengeluaran,Transport,
2025-04-02,naik angkot,42000,Pengeluaran,Transport,
2025-04-02,beli roti bakar,40000,Pengeluaran,Makan,
2025-04-02,uang saku tambahan,1900000,Pemasukan,Pemasukan,
2025-04-02,makan malam warung,35000,Pengeluaran,Makan,
2025-04-02,print dan jilid laporan,26000,Pengeluaran,Pendidikan,
2025-04-02,beli jus buah,39000,Pengeluaran,Makan,
2025-04-02,bayar iuran kos,359000,Pengeluaran,Tagihan,
2025-04-02,nonton bioskop,87000,Pengeluaran,Hiburan,
2025-04-02,beli suplemen,186000,Pengeluaran,Kesehatan,
2025-04-02,beli pecel lele,39000,Pengeluaran,Makan,
2025-04-02,naik angkot,19000,Pengeluaran,Transport,
2025-04-02,isi bensin pertamax,66000,Pengeluaran,Transport,
2025-04-02,beli bakso,13000,Pengeluaran,Makan,
2025-04-02,makan siang warteg,10000,Pengeluaran,Makan,
2025-04-03,naik bus trans,23000,Pengeluaran,Transport,
2025-04-03,beli indomie,38000,Pengeluaran,Makan,
2025-04-04,makan di kantin,41000,Pengeluaran,Makan,
2025-04-04,bayar puskesmas,128000,Pengeluaran,Kesehatan,
2025-04-04,beli tiket konser,139000,Pengeluaran,Hiburan,
2025-04-04,naik gojek ke kampus,20000,Pengeluaran,Transport,
2025-04-04,beli nasi padang,34000,Pengeluaran,Makan,
2025-04-05,grab car ke stasiun,21000,Pengeluaran,Transport,
2025-04-05,beli roti bakar,23000,Pengeluaran,Makan,
2025-04-05,print skripsi,83000,Pengeluaran,Pendidikan,
2025-04-06,grab motor ke rumah sakit,63000,Pengeluaran,Transport,
2025-04-06,beli paracetamol,11000,Pengeluaran,Kesehatan,
2025-04-06,beli charger laptop,80000,Pengeluaran,Belanja,
2025-04-06,beli indomie,30000,Pengeluaran,Makan,
2025-04-06,beli powerbank,65000,Pengeluaran,Belanja,
2025-04-07,fotokopi materi kuliah,200000,Pengeluaran,Pendidikan,
2025-04-07,beli ayam geprek,15000,Pengeluaran,Makan,
2025-04-07,fotokopi materi kuliah,295000,Pengeluaran,Pendidikan,
2025-04-07,bayar spp semester,412000,Pengeluaran,Pendidikan,
2025-04-07,beli roti bakar,29000,Pengeluaran,Makan,
2025-04-07,beli merchandise anime,137000,Pengeluaran,Hiburan,
2025-04-07,beli token busway,41000,Pengeluaran,Transport,
2025-04-07,bayar iuran kos,504000,Pengeluaran,Tagihan,
2025-04-07,bayar langganan aplikasi,646000,Pengeluaran,Tagihan,
2025-04-07,beli sate,17000,Pengeluaran,Makan,
2025-04-07,naik ojek online,70000,Pengeluaran,Transport,
2025-04-07,beli paracetamol,159000,Pengeluaran,Kesehatan,
2025-04-08,gojek ke kos,60000,Pengeluaran,Transport,
2025-04-08,bayar spotify premium,65000,Pengeluaran,Hiburan,
2025-04-08,naik ojek online,67000,Pengeluaran,Transport,
2025-04-08,bayar parkir motor,75000,Pengeluaran,Transport,
2025-04-08,beli earphone,97000,Pengeluaran,Belanja,
2025-04-08,main billiard,157000,Pengeluaran,Hiburan,
2025-04-09,beli nasi padang,27000,Pengeluaran,Makan,
2025-04-09,isi bensin pertalite,21000,Pengeluaran,Transport,
2025-04-09,beli baju olahraga,233000,Pengeluaran,Belanja,
2025-04-10,grab car ke stasiun,41000,Pengeluaran,Transport,
2025-04-10,bayar iuran kos,543000,Pengeluaran,Tagihan,
2025-04-10,makan di warteg,13000,Pengeluaran,Makan,
2025-04-10,beli pecel lele,36000,Pengeluaran,Makan,
2025-04-10,jajan gorengan,31000,Pengeluaran,Makan,
2025-04-10,beli kopi susu,12000,Pengeluaran,Makan,
2025-04-11,fotokopi materi kuliah,387000,Pengeluaran,Pendidikan,
2025-04-11,bayar air pdam,722000,Pengeluaran,Tagihan,
2025-04-11,bayar bensin motor,46000,Pengeluaran,Transport,
2025-04-11,beli tiket konser,152000,Pengeluaran,Hiburan,
2025-04-11,beli mie ayam,21000,Pengeluaran,Makan,
2025-04-12,beli mie ayam,13000,Pengeluaran,Makan,
2025-04-12,naik ojek online,40000,Pengeluaran,Transport,
2025-04-12,beli kuota internet belajar,78000,Pengeluaran,Pendidikan,
2025-04-12,beli masker kesehatan,164000,Pengeluaran,Kesehatan,
2025-04-12,beli indomie,33000,Pengeluaran,Makan,
2025-04-12,beli indomie,44000,Pengeluaran,Makan,
2025-04-12,naik angkot,38000,Pengeluaran,Transport,
2025-04-12,print skripsi,219000,Pengeluaran,Pendidikan,
2025-04-13,naik ojek online,77000,Pengeluaran,Transport,
2025-04-13,beli martabak,15000,Pengeluaran,Makan,
2025-04-13,isi saldo e-money,178000,Pengeluaran,Tagihan,
2025-04-13,beli baju di shopee,114000,Pengeluaran,Belanja,
2025-04-13,beli ayam geprek,35000,Pengeluaran,Makan,
2025-04-13,beli mie ayam,35000,Pengeluaran,Makan,
2025-04-13,beli baju di shopee,364000,Pengeluaran,Belanja,
2025-04-13,makan di kantin,34000,Pengeluaran,Makan,
2025-04-13,makan siang warteg,17000,Pengeluaran,Makan,
2025-04-13,beli sate,45000,Pengeluaran,Makan,
2025-04-13,bayar disney plus,36000,Pengeluaran,Hiburan,
2025-04-14,beli kuota xl,411000,Pengeluaran,Tagihan,
2025-04-14,beli ayam geprek,38000,Pengeluaran,Makan,
2025-04-14,naik bus trans,59000,Pengeluaran,Transport,
2025-04-14,beli jus buah,27000,Pengeluaran,Makan,
2025-04-14,beli martabak,22000,Pengeluaran,Makan,
2025-04-15,naik ojek online,35000,Pengeluaran,Transport,
2025-04-15,beli sepatu tokopedia,266000,Pengeluaran,Belanja,
2025-04-15,beli roti bakar,30000,Pengeluaran,Makan,
2025-04-15,isi pulsa telkomsel,720000,Pengeluaran,Tagihan,
2025-04-15,beli paracetamol,21000,Pengeluaran,Kesehatan,
2025-04-15,beli kopi susu,26000,Pengeluaran,Makan,
2025-04-15,beli bubble tea,38000,Pengeluaran,Makan,
2025-04-15,bayar netflix,43000,Pengeluaran,Hiburan,
2025-04-16,beli celana jeans,28000,Pengeluaran,Belanja,
2025-04-16,makan di kantin,27000,Pengeluaran,Makan,
2025-04-16,naik gojek ke kampus,43000,Pengeluaran,Transport,
2025-04-16,isi saldo e-money,348000,Pengeluaran,Tagihan,
2025-04-16,beli bubble tea,15000,Pengeluaran,Makan,
2025-04-16,beli bakso,11000,Pengeluaran,Makan,
2025-04-17,beli bubble tea,32000,Pengeluaran,Makan,
2025-04-17,beli jus buah,10000,Pengeluaran,Makan,
2025-04-17,bayar kartu pelajar,203000,Pengeluaran,Tagihan,
2025-04-17,beli sepatu tokopedia,247000,Pengeluaran,Belanja,
2025-04-17,beli ayam geprek,41000,Pengeluaran,Makan,
2025-04-18,karaoke bersama teman,58000,Pengeluaran,Hiburan,
2025-04-18,naik angkot,38000,Pengeluaran,Transport,
2025-04-18,beli es teh,32000,Pengeluaran,Makan,
2025-04-18,bayar langganan aplikasi,58000,Pengeluaran,Tagihan,
2025-04-18,naik gojek ke kampus,12000,Pengeluaran,Transport,
2025-04-18,beli sepatu tokopedia,379000,Pengeluaran,Belanja,
2025-04-19,beli tinta printer,330000,Pengeluaran,Pendidikan,
2025-04-19,sarapan nasi uduk,30000,Pengeluaran,Makan,
2025-04-19,beli powerbank,300000,Pengeluaran,Belanja,
2025-04-19,beli vitamin c,44000,Pengeluaran,Kesehatan,
2025-04-19,naik kereta commuter,76000,Pengeluaran,Transport,
2025-04-20,naik kereta commuter,20000,Pengeluaran,Transport,
2025-04-20,beli jus buah,33000,Pengeluaran,Makan,
2025-04-20,beli bakso,28000,Pengeluaran,Makan,
2025-04-21,beli sate,33000,Pengeluaran,Makan,
2025-04-21,top up gopay,714000,Pengeluaran,Tagihan,
2025-04-21,nonton bioskop,73000,Pengeluaran,Hiburan,
2025-04-21,isi pulsa telkomsel,190000,Pengeluaran,Tagihan,
2025-04-21,beli kuota xl,76000,Pengeluaran,Tagihan,
2025-04-22,beli bakso,37000,Pengeluaran,Makan,
2025-04-22,isi bensin pertamax,53000,Pengeluaran,Transport,
2025-04-22,beli kopi susu,23000,Pengeluaran,Makan,
2025-04-22,beli earphone,185000,Pengeluaran,Belanja,
2025-04-23,beli sate,18000,Pengeluaran,Makan,
2025-04-23,makan malam warung,23000,Pengeluaran,Makan,
2025-04-23,gojek ke kos,25000,Pengeluaran,Transport,
2025-04-23,bayar air pdam,194000,Pengeluaran,Tagihan,
2025-04-23,main billiard,136000,Pengeluaran,Hiburan,
2025-04-24,uang lembur kerja part time,1100000,Pemasukan,Pemasukan,
2025-04-24,fotokopi materi kuliah,12000,Pengeluaran,Pendidikan,
2025-04-24,beli sepatu tokopedia,259000,Pengeluaran,Belanja,
2025-04-24,beli hand sanitizer,148000,Pengeluaran,Kesehatan,
2025-04-24,bayar listrik kos,605000,Pengeluaran,Tagihan,
2025-04-24,beli flashdisk,48000,Pengeluaran,Pendidikan,
2025-04-24,naik angkot,76000,Pengeluaran,Transport,
2025-04-24,beli tinta printer,86000,Pengeluaran,Pendidikan,
2025-04-25,beli jus buah,34000,Pengeluaran,Makan,
2025-04-25,beli tinta printer,311000,Pengeluaran,Pendidikan,
2025-04-25,beli merchandise anime,193000,Pengeluaran,Hiburan,
2025-04-25,beli ayam geprek,31000,Pengeluaran,Makan,
2025-04-25,bayar iuran kos,319000,Pengeluaran,Tagihan,
2025-04-25,nonton bioskop,43000,Pengeluaran,Hiburan,
2025-04-25,beli hand sanitizer,195000,Pengeluaran,Kesehatan,
2025-04-26,makan di warteg,18000,Pengeluaran,Makan,
2025-04-26,naik ojek online,11000,Pengeluaran,Transport,
2025-04-26,beli kopi susu,14000,Pengeluaran,Makan,
2025-04-26,bayar seminar,73000,Pengeluaran,Pendidikan,
2025-04-26,grab motor ke mall,10000,Pengeluaran,Transport,
2025-04-27,bayar seminar,472000,Pengeluaran,Pendidikan,
2025-04-27,naik bus trans,41000,Pengeluaran,Transport,
2025-04-27,beli bakso,24000,Pengeluaran,Makan,
2025-04-27,beli vitamin c,199000,Pengeluaran,Kesehatan,
2025-04-27,beli suplemen,128000,Pengeluaran,Kesehatan,
2025-04-27,grab motor ke mall,18000,Pengeluaran,Transport,
2025-04-27,bayar spotify premium,34000,Pengeluaran,Hiburan,
2025-04-27,fotokopi materi kuliah,249000,Pengeluaran,Pendidikan,
2025-04-27,bayar spotify premium,196000,Pengeluaran,Hiburan,
2025-04-27,beli kopi susu,31000,Pengeluaran,Makan,
2025-04-28,bayar seminar,397000,Pengeluaran,Pendidikan,
2025-04-28,bayar disney plus,144000,Pengeluaran,Hiburan,
2025-04-28,jajan gorengan,13000,Pengeluaran,Makan,
2025-04-28,makan malam warung,23000,Pengeluaran,Makan,
2025-04-28,bayar kartu pelajar,98000,Pengeluaran,Tagihan,
2025-04-29,beli sabun mandi,166000,Pengeluaran,Belanja,
2025-04-29,beasiswa prestasi,600000,Pemasukan,Pemasukan,
