tanggal,deskripsi,jumlah,tipe,kategori
2025-03-02,beli buku referensi,292000,Pengeluaran,Pendidikan
2025-03-05,beli baju olahraga,104000,Pengeluaran,Belanja
2025-03-08,naik angkot,29000,Pengeluaran,Transport
2025-03-12,beli obat flu di apotek,187000,Pengeluaran,Kesehatan
2025-03-14,bayar parkir motor,61000,Pengeluaran,Transport
2025-03-15,beli vitamin c,92000,Pengeluaran,Kesehatan
2025-03-18,beli sate,26000,Pengeluaran,Makan
2025-03-19,bayar spp semester,110000,Pengeluaran,Pendidikan
2025-03-19,beli sate,37000,Pengeluaran,Makan
2025-03-21,makan di warteg,21000,Pengeluaran,Makan
2025-03-21,makan di warteg,22000,Pengeluaran,Makan
2025-03-22,beasiswa prestasi,950000,Pemasukan,Pemasukan
2025-03-22,isi bensin pertamax,62000,Pengeluaran,Transport
2025-03-22,naik kereta commuter,63000,Pengeluaran,Transport
2025-03-29,beli indomie,37000,Pengeluaran,Makan
2025-03-30,beli sate,35000,Pengeluaran,Makan
2025-03-31,bayar air pdam,331000,Pengeluaran,Tagihan
2025-04-01,beli nasi padang,31000,Pengeluaran,Makan
2025-04-01,makan di kantin,14000,Pengeluaran,Makan
2025-04-01,beli bakso,28000,Pengeluaran,Makan
2025-04-07,bayar iuran kos,504000,Pengeluaran,Tagihan
2025-04-07,bayar spp semester,412000,Pengeluaran,Pendidikan
2025-04-11,beli tiket konser,152000,Pengeluaran,Hiburan
2025-04-11,fotokopi materi kuliah,387000,Pengeluaran,Pendidikan
2025-04-13,beli mie ayam,35000,Pengeluaran,Makan
2025-04-13,beli sate,45000,Pengeluaran,Makan
2025-04-15,beli roti bakar,30000,Pengeluaran,Makan
2025-04-15,bayar netflix,43000,Pengeluaran,Hiburan
2025-04-17,beli bubble tea,32000,Pengeluaran,Makan
2025-04-27,naik bus trans,41000,Pengeluaran,Transport
2025-04-27,beli vitamin c,199000,Pengeluaran,Kesehatan
2025-04-28,bayar seminar,397000,Pengeluaran,Pendidikan
2025-04-28,bayar disney plus,144000,Pengeluaran,Hiburan
2025-04-29,top up gopay,282000,Pengeluaran,Tagihan
2025-04-30,beli ayam geprek,17000,Pengeluaran,Makan
2025-05-06,beli token busway,52000,Pengeluaran,Transport
2025-05-08,beli tiket konser,186000,Pengeluaran,Hiburan
2025-05-09,beli obat flu di apotek,79000,Pengeluaran,Kesehatan
2025-05-16,beli sate,22000,Pengeluaran,Makan
2025-05-18,beli aksesoris hp,141000,Pengeluaran,Belanja
2025-05-21,naik ojek online,68000,Pengeluaran,Transport
2025-05-23,bayar seminar,336000,Pengeluaran,Pendidikan
2025-05-24,beli token busway,80000,Pengeluaran,Transport
2025-05-24,beli nasi goreng,42000,Pengeluaran,Makan
2025-05-25,main bowling,81000,Pengeluaran,Hiburan
2025-05-28,bayar disney plus,188000,Pengeluaran,Hiburan
2025-05-30,beli roti bakar,27000,Pengeluaran,Makan
2025-05-30,naik angkot,30000,Pengeluaran,Transport
2025-05-31,nonton film bioskop,136000,Pengeluaran,Hiburan
2025-05-31,beli martabak,24000,Pengeluaran,Makan
