deskripsi,kategori
isi bensin pertamax,Transport
beli kopi susu,Makan
beli buku referensi,Pendidikan
makan malam warung,Makan
beli roti bakar,Makan
naik angkot,Transport
beli jus buah,Makan
bayar listrik kos,Tagihan
naik gojek ke kampus,Transport
beli kopi susu,Makan
beli baju olahraga,Belanja
beli paracetamol,Kesehatan
bayar kursus online,Pendidikan
beli buku referensi,Pendidikan
beli mie ayam,Makan
beli kuota internet belajar,Pendidikan
main bowling,Hiburan
beli komik,Hiburan
beli martabak,Makan
beli tas ransel,Belanja
beli obat maag,Kesehatan
beli roti bakar,Makan
beli nasi padang,Makan
bayar seminar,Pendidikan
makan di warteg,Makan
beli kuota xl,Tagihan
naik ojek online,Transport
beli masker kesehatan,Kesehatan
bayar bensin motor,Transport
bayar konsultasi dokter,Kesehatan
naik angkot,Transport
makan di kantin,Makan
beli kertas hvs,Pendidikan
bayar disney plus,Hiburan
top up gopay,Tagihan
bayar cicilan hp,Tagihan
makan siang warteg,Makan
print skripsi,Pendidikan
naik bus trans,Transport
makan siang warteg,Makan
print skripsi,Pendidikan
jajan gorengan,Makan
beli baju di shopee,Belanja
bayar kartu pelajar,Tagihan
beli jus buah,Makan
beli token busway,Transport
beli hand sanitizer,Kesehatan
bayar langganan aplikasi,Tagihan
bayar youtube premium,Hiburan
jajan gorengan,Makan
beli earphone,Belanja
grab motor ke rumah sakit,Transport
bayar youtube premium,Hiburan
beli ayam geprek,Makan
bayar langganan aplikasi,Tagihan
beli obat flu di apotek,Kesehatan
beli pecel lele,Makan
beli pecel lele,Makan
beli powerbank,Belanja
beli alat tulis,Pendidikan
beli kopi susu,Makan
beli tiket konser,Hiburan
beli sepatu tokopedia,Belanja
makan di warteg,Makan
bayar langganan aplikasi,Tagihan
beli tinta printer,Pendidikan
beli roti bakar,Makan
sarapan nasi uduk,Makan
beli sate,Makan
beli buku kuliah,Pendidikan
beli mie ayam,Makan
beli martabak,Makan
grab motor ke mall,Transport
beli suplemen,Kesehatan
beli sabun mandi,Belanja
naik gojek ke kampus,Transport
bayar parkir motor,Transport
beli buku kuliah,Pendidikan
makan siang warteg,Makan
beli hand sanitizer,Kesehatan
